comment,toxic
"Двачую тебя, анончик. Олечка просто идеал женщины.
",0.0
"забанили в дойта трете за ету картинку.... идите туда запостите картинку и попросити что бы разбанили
",0.0
"Когда же вас минусить начнут за анекдоты которые повторяются из поста в пост... Я бы рассказал тебе про палатку с шаурмой, но есть нюанс - тут мне карта поперла! Ты знаешь правила.
",0.0
"Ты от дрочки похоже уже ослеп.
",1.0
"Ты о нем уже третий пост мне пишешь. Зачем ты тогда мне пишешь? Если тебе скучно и хочешь пообщаться, то время сменить тему.
",0.0
"Лурочка: Эльдорадо(Быдлорадо, Елдарада, Дилдорадо, Эльдорабство) быдлосеть быдломагазинов быдлотехники и быдлоэлектроники для быдла.
",1.0
"Автор, не в обиду, я прожила 4 года в Волгограде. У вас концентрация быдла огромная, а чиновники одни из самых охуевших в РФ.
",1.0
"Рашка неиронично встаёт с колен, пока хохлы кидаются плюшевыми свиньями в своего Главсвина.
",1.0
"В России два пола. Гомосеком быть стыдно и опасно. Негры - это негры, а не афроктототам. Женщины имеют больше прав, чем мужчины. Вот поэтому и ебутся со всеми делами, раз такие умные. Аборты - а тебе не похуй? Или денег захотел дать? Ну, давай. Остоебенело читать подзалупную иностранщину. Для кого это говно переводят на наш язык? Нам до этой благородной подагры ещё коклюшами со скарлатинами два века с гаком болеть. Горчичники надо учиться крутить, а не за мусьё тарелки подлизывать.
",1.0
"Доиграешься ты со своей русофобией.
",1.0
"Оу,думал не вам отвечаю,прошу прощения,перепутал комментатора
",0.0
"И зачем в сноске эти откровения Не виляй жопой, челядь. Твоя претензия была к тому, что ссылка якобы взята из непроверенного источника, во что я тебя и ткнул твоей неумытой харей. Ты пойман за руку как подлец и дешевка.
",1.0
"Ну давай. Отбери у меня нож, клоун, только я махну рукой и твои яйца разлетятся по всему арбату.
",1.0
"Уже в некоторых странах есть 1 перерыв на пять минут в середине фильмов. Правда пока без рекламы.
",0.0
"Так ты не по теме гомофорса давай, а в общем. Нахуя ты машешь банхамером? Это не лично твоя доска - не нравится, как общаются некоторые аноны - пили свой сайт и там наводи собственные порядки. Сейчас все выглядит так, что ты встав с утра не с той ноги, начинаешь раздавать баны, увидев там некий намек на срач и пытаясь искусственно зарегулировать доску под какое-то свое виденье того, как доска должна выглядить. Системность следования правилам раздела, отсутствие избирательного отношения или фаворитизма по отношению к тому или иному форсу, - залог стабильного постинга на честной доске. Что ты несешь, шизофреник задроченный? Честная доска? Ты таблеток принял? Кто тебе вообще дал ограничивать право на форс других людей, к тому же относительно фентези сука. Это игра, здесь все выдуманное, але. И вообще, что ты имеешь против гомиков, говна кусок? Ты уже не стесняешься и решил открыто ссать всем обитателям tes в лицо? надоели и стали больно уж натужными, или форсед по-другому. Лично тебе? Повторюсь, создавай свой сайт. Поэтому аноны, упорствующие в гомофорсе, могут и будут забанены на средние сроки - неделю или две. Вообще охуел, чушок. Залетит такое быдло с вконтактов и пикабу, возьмет модераторку и давай из своих туповатых взглядов раздавать баны на право и на лево. Особо упорствующие могут попасть под пермач А я считаю, что тебя должны снять с этой доски. Абу, обрати внимание. Это ебанейший аутист. Таким вообще никакой власти нельзя доверять, это неполноценные люди - даже на доске про компьютерную игру. Совсем поехал, дружок.
",1.0
"Они все не пилят по началу, тут от тебя не зависит ни чего, ты как раз советы даёшь как этот мужик в посте, ты в этой теме не хера не понимаешь
",1.0
"https: psv4.userapi.com c848232 u9216735 docs d11 808c120d8afb ezgif-5-db1d73515f53.gif Рейтинга не хватает гифку прицепить)
",0.0
"- Опять с работы пьяный припёрся? - Мы заказ сдали? - Какой ещё заказ? - Минет изобрели? - Что? - Я говорю, собирай манатки и пиздуй к маме.
",0.0
"БМВизм головного мозга
",1.0
"тебя оставить на полгода без порнушки и секса и не в такое начнешь тыкать)
",1.0
"Просто ник автора, наверное
",0.0
"они и так налог платят 95 цыганскому барону, организатору этих лжеинвалидов
",1.0
"А вы писать по-докторски умеете?
",0.0
"Испанский стыд вы фашистские отродия должны испытывать. А он только лишний раз убедиться что с вами по человечески жить нельзя, один хер заочно в нелюди записали
",1.0
"2:30 - малолетнему дебилу открылся дзен и пришло просветление. Лучше поздно, чем никогда. 5:45 - верит рассказам сокамерников о своей невиновности. Ну, дебил малолетний, ничего не поделаешь. Хотя он себя тоже не считает в чём-то виноватым. у нас плохие законы, по ним сажают за наркотики А вот с этого орнул. Какой же он дегенерат. Короче, этому петуху место в изоляции.
",1.0
"Вам бы к психиатру, а не ко мне, а то видите то чего нет
",1.0
"А ты видимо нет, раз такой умный!)
",1.0
"Поготь, какие 18 лет? Ты же только в позапрошлом году школу закончил.
",0.0
"Прибыл в районе 500тыс Тенге (100тыс рублей)
",0.0
"Нихуя себе, а у тебя обои как бы не возле розеток находятся??? Какие нахуй провода должны обвивать занавески??? Провода как бы в изоляциии, там никакой искры нет. Нагрев от искры не бывает??? Входит с искрением и искрит постоянно при работе, как бы, чувак, немного отличается. Набрал... Написано-СИЗы, используются для безопасного соединения проводов. ЧО хотел то сказать??? Что аллюминий им не соединишь??? Ну дык, он запрещен сейчас для проводки в помещениях. Быстрозажимные клеммы wago, блядь, для соединения пары проводов под потолком??? Ты реально хоть занимался электромонтажем??? Да никуя ты не занимался, 18 лет мозги ебал. Чувак, ты пойми, соединять в коробке и соединять пару проводов, это разные вещи. Почему? Вопрос в цене, чувак, да!
",1.0
"ну если фейковые и недостоверные новости для тебя это источник всех твоих доводов, то вопросов нет. пиши и дальше подобные посты
",1.0
"Веселить соседей и вейп курить Гироскутер двумя оседлать Что бы было тебе и каждому нынче Тебя петухом обозвать
",0.0
"Забыл добавить , если при этом чурка пожизненно в сибири ,лес валить!
",1.0
"Если бабок нет, а спорта хочется - покупаешь пс4, хороший монитор, наушники и руль. Покупаешь гран туризмо спорт или дирт последний. Fia признает их автоспортом и проводит официальные чемпионаты. (Хотя про дирт не уверен) Либо прокатный картинг - обычно не больше 700р за 10 минут. Как научишься есть вариант покупки своего карта, там цена от 100к за карт без двигвтеля. Ну мне вот прокатного хватает чтобы понять свой скил и найти свой лимит. Мне например для улучшения времени уже еженедельных заездов не хватает, надо и карт свой и ездить чаще, но считаю такие траты на хобби необоснованными. И времени не хватает.
",0.0
"Какие же русняаые выродки мрази, пиздец просто. Скотство, жестокость, тупость и жадность - вот это все и есть русскость. Надеюсь, того пидораху когда-нибудь загрызут собаки или пырнут ножом быдланы.
",1.0
"иди и вари, можешь посолить ещё. И перца добавить...
",0.0
"Где я такое кричу, шизик? Я просто рад разъебу очередного социалистического гнойника. Алсо, сербы доебали не только муслимов, а вообще всех, начиная от хорватов, словенцев и македонцев, заканчивая практически теми же самыми сербами, которые предпочли называть себя черногорцами. Сербы тогда играли роль народа-фашиста, а Югославия - тюрьму народов. А ты, дырявое лахтинское уебище, пытаешься представить этот конфликт как войну хороших христиан с плохими мусульманами, на такое поведется только совсем не знающий историю даун, ну либо комнатный фашист, изучающих историю по форчану. В любом случае, ссу тебе на личико.
",1.0
"И это говорит человек с ником Скотобой?
",0.0
"Впервые докопался , а надо было ждать второго-третьего раза, что бы поставить утырка на место? А может ты и сам был таким утырком в школе, и тебе обидно, что тебя какой-то новенький поставил на место?
",1.0
"Ваш способ отлично на цыган действует.
",0.0
"Ненужный кусок говна лезет во все щели. E nt,z bpj hnf7 у тебя изо рта?
",1.0
"Ну ты поди пораньше работать кончаешь мб?)
",1.0
"Начал хорошо, а по итогу доебался до орфографии. Какая разница, Екатерино- или Красно- славка, ежели там такая хуйня творится? Еще и про царское название и казаков что-то пукнул. Алёшенька, ты хуй с трамвайной ручкой не путай.
",1.0
"Потому что он гомогеев убивал.
",0.0
"Волжские буглары пидарасы мимо астраханский татарин
",1.0
"Любителям пострулять не важно, тролль писал комент, или еще кто.. им надо свою агрессию оправдать. Ну не помещается у них в головушке, что собак как выкидывали на улицу, так и будут выкидывать вне зависимости от того, ведется отстрел, или нет.
",1.0
"Не знаю, что он там вам показал, если вы не способны сделать объективных выводов из исторического процесса. К каким выводам пришли вы, уважаемый коллега, с точки зрения научной марксистско-ленинской позиции? Лично мои выводы вполне очевидны - СССР обосрался. И со словами: Ну не шмогла я , не шмогла . Кинул сотни миллионов собственноручно воспитанных граждан фактически во внешние воды мирового капиталистического океана. Без каких либо шлюпок и спасательных кругов. Какой же у вас вывод? Ну вот видите, человеческая природа вовсе не остается неизменной, ее вполне можно изменить, так почему бы не использовать подобные наработки для улучшения человека и общества? А то почему-то подобные технологии используются, нынче, только чтобы из целых наций стада говнюков делать. СССР попытался же, зачем прикидываться дураком? СССР попытался разглядеть и воспитать в человеке те высокие идеалы, которые собственно и должны, по идее, отличать человека от животного. Но животная сущность людей быстро приспособилась, и всё извратила. Потомучто вы не сможете создать такой порядок, который реально подчинит себе стремления и инстинкты людей. Просто не сможете просчитать всё, все повороты, все возможности. В этом плане капитализм гораздо честнее коммунизма, потомучто по крайней мере не учит утопическим идеалам, и честно дает каждому возможность стать Человеком. Другое дело , что люди , в массе, не используют эти возможности. Но так это проблемы людей. Коммунизм же попытался всех по линейке под одну гребенку просто тупо загнать в эти рамки. И что в итоге? С момента развала СССР, коммунизм это прибежище всех романтиков и идеалистов, которые не хотят смотреть жизни в глаза. Тем печальнее, потомучто это часто лучшие люди, которые могли бы служить обществу. И что? Человек - это НЕ ТОЛЬКО животное. Конечно это так. Только человеческое общество не сможет никогда построить такую идеологию, которая будет научно-заводским способом воспитывать высокие идеалы. Вот научно-заводским способом воспитывать животные идеалы это пожалуйста. Это мы сейчас наблюдаем повсеместно. Все, с довольным хрюканьем потребляют, и не оглядываются. Я делаю вывод - значит заслужили. Люди заслужили быть животными, хрюкать и потреблять, зачем их от этого отвлекать и силой тащить в какое-то светлое будущее, если оно им не надо? При этом каждый волен отставить корыто и развить в себе искру Бога. Такая возможность есть у каждого. Что это ещё за трудовое братство ? Я-то на вполне научной марксистско-ленинской позиции стою. Просто эта картинка неплохо иллюстрирует данный вопрос и вот эту бредовую позицию про человеческую природу как алчную и эгоистическую. Честно говоря научного в вашей позиции ровно столько же сколько в моей. Мы два демагога, встретившиеся на полях былых сражений. Вы роетесь в сгнившей трухе прошлых лет, рассматриваете пепел, и ищите там ответы. Я так же рылся пока не понял насколько бездарно трачу время. И как только я это понял мир раскрылся передо мной. ТАк что рекомендую сдернуть шоры с глаз и посмотреть на мир на такой каков он есть, а не на то что вы себе нафантазировали.
",0.0
"То, что Вы не можете себе что-то представить говорит только о вашей фантазии.
",0.0
"Смотрите кокой я грозный пынявый лох и как я своими титиническими легкими мощно задуваю в сочную американскую залупу.
",1.0
"Вот честно, ты очень бездарный пропагандист. Своего рода быдло в стане элит пропагандистов. Понимаешь, в совокупности, контент пропаганды в целом, рассчитан на людей недалёких, с отсутствием критического мышления, ну а твой же контент, рассчитан на просто умственно отсталых.
",1.0
"Знал бы ты как меня тошнит при виде этого...
",1.0
"Ок, при чем здесь мы-то, дурачок? Переживаешь за хохлов, получай их громадство, голосуй за кого хочешь.
",1.0
"У нас фашики, в плен которые сдались, отсидели свое тут, и так и остались.
",0.0
"Пустоту тебе сфотографировать?)
",0.0
"Не уходи, или сдохнешь
",1.0
"И списала долги третьих стран перед СССР, которые должны были достаться в том числе и Казахстану. Какие же русские уроды умные
",1.0
"Ты реально дурачек если всерьез думаешь что валакас валера пэниски хуиски и т.д. это не интернет образы и что он такой же ирл. Он и не скрывает что он Денчик, это все часть шоу для развлечения и все это понимают, но он нормис. Если в рэале к нему подойти то думаю он с юморком относится. А рапич аутяра и реально бычит когда к нему зрители подходят, потому что в случае с ним это не образ для стримов, он и в реальной жизни такой же долбаеб.
",1.0
"Вет академию на сиб.тракте тоже хвалят, боюсь уже ставить эксперименты. Пока там наблюдаемся. Спасибо.
",0.0
"Пёстрый скакунчик! :3
",0.0
"пук пук пук пук МАЛОЛЕТНИЙ ДЕБИЛ НАСРАЛЬНЕНОК ОПЯТЬ НАВАЛИЛ ГАВНА В КАМЕНТАХ
",1.0
"если ты конкретно про меня, то ошибаешься, я хоть за чебурашку проголосую, только не за мразь плешивую
",1.0
"та ну, хуйня это все про джентельменство . меня в свое время эти брачные игрища так сильно заебали, что я вообще перестал париться и начал себя вести так, как и обычно. без всех этих ужимок и образа славного парня . без зазрения совести перед девушками курил, харкался, матерился как сапожник, рассказывал охуитительные истории о том, как когда-то обосрался бухал ебал кого-то проснулся с обблеванной тян пересказывал пасты про говно и т.д. т.е вел себя как быдлан, как обычно я себя и веду, когда вокруг никого нет. и тогда девушки начали тянуться. после этого я сделал для себя вывод, что девушки вообще не воспринимают что ты им говоришь, что делаешь и т.д. они воспринимают лишь то, как ты все это говоришь и делаешь. когда я начал вести себя как обычно, я делал это, блять, уверенно, самовлюбленно, нагло и аки самец . может это будило в девушках какие-то там инстинкты и они думали что-то в стиле ну ничего что быдло, зато какой уверенный, ВАХ просто! или я хуй знает, но такое поведение позволило мне пользоваться определенной популярностью у девушек. вообще если покопаться во всей этой теме, образ отношений, любви, поведения во всех этих брачных игрищах, все это навязывается нам с рождения источниками массовой информации, через книги, фильмы, красивые любовные истории и т.д. веди себя как джентельмен, жди ту, которая встрепетнет твою душу и от которой твое сердце забьется чаще, а в животе будут летать бабочки, положи всю свою жизнь на счастье второй половинки, будь для нее горой, добытчиком, ебырем-террористом и вся эта прочая романтичная, сопливая хуета. и все это в корне не верно. реальная любовь и отношения, не имеют ничего общего с тем, что нам с рождения вбивают в голову. все эти высокие чувства - обычное желание ебаться. видишь человека - получаешь дозу гормона - кайфуешь. не видишь человека - нет дозы гормона - появляется ломка - ищешь способы увидеть человека. вот тебе описание любви. через какое-то время эти чувства угаснут так или иначе и если у вас кроме этих чуйств нихуя не было, то развод и девичья фамилия. настоящая любовь, это когда у вас есть тысячи причин быть вместе, помимо того, что у вас стойкое желание ебаться. даже когда желание ебаться уже прошло, вам все равно приятно находиться вместе. такое же навязывание светлой и романтишной любви , на моей памяти, вызывало не мало проблем у моих знакомых девушек. они втупую сидели и ждали принца на белом коне ГОДАМИ, ссылаясь на охуенные фразочки если твое, то ты не пропустишь , обещанного три года ждут и прочую ебанину. я и сам к некоторым пытался лезть как кандидат в парни, ухаживал, звал гулять, пытался побольше времени проводить с ними, но все упиралось в одну хуйню. а именно вот есть парень, он очень популярен, он вообще не мой уровень, у него целые армии из девушек желающих попрыгать на его куканчике, и вот она я вся такая красивая, посижу на попе смирно, нихуя не буду делать, он обязательно меня заметит, а пока что я буду отметать кучу нормальных вариантов отношений! ох бедная я несчастная, парня найти то себе не могу, 25 лет а все в девках хожу! . а все почему? а потому что им с детства вбивали, что ухаживать должны мальчики, подкатывать должны мальчики, а ты, вся такая красивая, должна сидеть и ждать пока к тебе подкатят и лишь отсеивать нормальных парней в ожидании его - ПРЫНЦА НА БЕЛОМ КОНЕ!!1 именно так любовь и работает, нахуй!!11! чето меня занесло и печет пиздец. все это джентельменство хуйня собачья. образ современной любви - та еще дичь. надеюсь через пару десятков поколений, весь этот романтизм и брачные игрища станут архаизмом и люди просто будут влюбляться и быть вместе, без всего этого социально-любовного шлака.
",0.0
"Я одна ожидала, что баба-провизор решит что вы уронили кропаль из папиросы, а не крошки печенья? ЗЫ зачем заворачивать печенье в папиросную бумагу?
",0.0
"В конце апреля 2019 года в Киев приехал Анальный Господин, в миру Вячеслав Володин, доверенное лицо Путина. Его задача заключалась в том, чтобы на месте согласовать объём поставок газа Украине со стороны России и Белоруссии (белорусскую сторону в Киеве представлял лично президент Лукашенко, речь шла о транзите). Визит Господина был крайне почётен для Порошенко и символизировал повышение градуса в чиновничьей иерархии Российской Многонационалии. Шумерский деспот организовал дорогому гостю царский приём и, зная о его пристрастиях, выделил из киевской киберсотни секс-жемчужину красивого мальчика с очаровательной попкой, избежавшего, благодаря своей упругой попке, участия в АТО. Когда визит закончился, Господин ласково попрощался с президентом и неожиданно добавил: - А хлопчика я с собой забираю. Нормальный хлопчик, не чета моей лахте. В Москве он точно карьеру сделает. Порошенко бросился на колени, пытался свой лунопопый персик, перемогу очей и зраду вселенной отмолить. Ничего не помогло. Россиянин погрузил добычу в самолёт и улетел. Дело здесь не только в высоких чувствах господина Володина, но и в дипломатической школе. У российской дипломатии накопился большой опыт опускания сельских свинюшек. Знают как облупленных и управляют мастерски: щелчок-конфетка-щелчок.
",1.0
"Изменила мужу шлюха. Всё просто.
",1.0
"Чё ты тут орёшь??? Разбудишь же...
",0.0
"Наверное, ты не умеешь читать, раз путаешь меня с другим человеком.
",1.0
"Учите матчасть, селекционер.
",0.0
"ты заткнуться можешь?
",1.0
"Уууу. Сладкоежка детектед.
",0.0
"И часто тебе заезжают мухобойкой?
",1.0
"Все, кто поддерживают этого говнаря (идеологически) и считают его богом гитары - имхо, идиоты. Ну богом он сам себя не считает. А он неоднократно говорил, что он средний гитарист с бустом по таймингу и высеканию, как-то так. Но примерно 95 гитаристам в рок-метал группах в этом плане до него далеко, они даже в ударку попасть не могут - факт. Сочинять он может - уже множество песен сочинил, играть сложную и замороченную музыку тоже.
",1.0
"Лепишь, творишь, малюееешь
",0.0
"Такая удивительная история.. Дания. Это вам не цыганка с упоротым ребенком.
",0.0
"Действительно, с русским у тебя проблемы. Я тебе уже сказал - свободен, что бля непонятно?Полностью соответствуешь своему нику, осёл. В игнор, нерусь.
",1.0
"А ты гей-геронтофил )
",1.0
"Вас, извините, юрлицо совокупляло? Тут кагбэ про это. А вообще с алиментами пристава лучше работают
",0.0
"Да это давно было, на прошлом акке) Я потом накрутил сам себя и к писькиному доктору начал ходил, так его заебал! xD Искал подвох так сказать. - Вы не больны уходите! - А это точно? - Мамой клянусь! Уходи! - Но...
",0.0
"Еще раз- ПРОШУ, прочитать мой комментарий. Внимательно.
",0.0
"Брат упоротого лиса :-)
",0.0
"Скоро навальнят и прочих либерашек подсисянников будем так же отстреливать, никакой пощады врагам Великой России.
",1.0
"так когда картинку открываешь написано же NewZanaModel.jpg
",0.0
"я вот не пойму, я у тебя совета что-ли из раза в раз прошу?
",1.0
"Наверное муриканский сапог в жопе у хохлов это нечто другое я полагаю?
",1.0
"Ты путаешь адекватное уважение к себе, уровня никто не имеет права оскорблять меня и как либо приносить мне вред , с какой то нездоровой манией величия я справедливейший и честнейший из ныне живущих (это прямая цитата если что)
",1.0
"Гнилая тварь срёт в Питере хуёвыми стишками. Теперь ещё и в Минкульте.
",1.0
"Местами в Китае эта система работает. Причём давольно давно. Правда там отдельная подсветка стоит ещё.
",0.0
"Все конечно правильно, но... За 2 минуты люди не только войти в вагон, но и выйти из вагона не успевают
",0.0
"Ты хохол или москаль, что ли? Перед!
",1.0
"Сцук, умельцы, ну пририсуйте на камень (или что это?) надпись модератор ! Пожалуйста)
",0.0
"кухня-гостинная, нынче популярная хрень, у меня такая же будет как дом достроят)
",0.0
"Ну вот ты реальный кук, например.
",0.0
"Оп. Доказательство того, что ты не умеешь читать. Вижу, что такое заусенец, вижу кромки деталей не должны иметь заусенцев . Только я, в отличии от тебя, еще читаю другие слова кроме искомых, а именно: кромки МЕТАЛЛИЧЕСКИХ деталей не должны иметь заусенцев . Ты слился: по IQ, по умению читать, по умению делать оценку качества, по умению отвечать на вопросы. Странно, что ты дышать умеешь и даже писать.
",1.0
"Ты серьезно не видишь иронии в том, что праводебилы топят вот ровно за тоже самое в каждом пункте? Сынок, даже близко нет. Третий рейх со всем его говном, от сектантских законов о массовых убийствах до убийства собственных раненых солдат, попавших под евгеническую программу как инвалиды, от лагерей смерти до проебывания будущего страны в военном МММ был лучше среднестатистического государства ближнего востока 70-х 80-х, не говоря уже про современные Афганистан, Пакистан и т.д. А это дно, ниже европейцам падать просто некуда. Даже Албания времен Энвера не такое дно, хоть и смотрится дико.
",0.0
"Главное, что ты в офисе сычевальне кукухой не едешь, сгорбился над своим компуктером, никакого на намека на чсв или хотя бы просто элементарные зачатки личности у тебя никогда и не было, кушаешь антидепрессанты, дрочишь на анимэ и подвякиваешь мамкиными вскудахтами на двачах. Убермэнш, как есть.
",1.0
"Ты не понял, это была штука - продолжение твоих аналогий. Комментатор выше метаюморист и привел аналогию, подтверждающую твои аналогии, но в то же время критикующую тебя. Это ли не тонкий юмор?
",0.0
"О, Раска Федераска. Я здесь живу.
",0.0
"Ты, как совместившая, делишься опытом? Учту.
",0.0
"Знаете, шли бы вы ... в баню. Кстати. можете сами в Диксон врачём
",0.0
"По-моему ты просто зануда
",1.0
"Страдай, изврощенец. Однако раньше рядом с хрюканом получше были тянки. А сейчас недотрапы колхозные и шизанутые.
",1.0
"Ага по второй ссылке США ниже России. Это тебя не напрягло? Ладно, хули с тобой разговаривать. Мне не интересно. Жри помои дальше.
",1.0
"Там написано он попросил и убедился тупица ты значит они повернулись уже
",1.0
"Меня просто убивают местные дегенераты. Евген вовсе не топит за совок и никогда вообще не говорил о своих политических предпочтениях. Так уж вышло, что обычно самые говенные высеры сейчас модно снимать про совок. Если бы вместо совка больше всего лжи выливали по поводу РИ, то Евгена называли бы монархистом. Смекаете, дауны? А советская киношкола была действительно охуенной и Евген часто ставит ее в пример вовсе не потому что она совковая, а потому что она профессиональная и на подступе отсеивает всяких Галустянов и прочих дегенератов, ставя им неуды за хуевые шутки и не пропуская их высеры на большой экран.
",1.0
"Переведите этот поток сознания хотя бы хохляцкий, плиз.
",1.0
"ты то с чем суешься? пшел под лавку
",1.0
"да пошел ты нахуй сашенька ебаный
",1.0
"Какой-то хуёвый хомяк.
",1.0
"Я не понял ты чо самый умный ??
",1.0
"Тупой вопрос. Тупое заявление). Если заболеют несколько членов моей семьи, я буду уделять внимание каждому и приоритетнее будет тот, кому на данный момент хуже. Это несравнимые вещи. А где гарантии что женщина сможет расставить приоритеты правильно, основываясь на здравом смысле, а не блядской эмоциональности? С вами все ясно. Здесь на словах вы создаете впечателение адекватной. Но много ли таких?
",1.0
"АСТОЕБЕНИЛА ВСЕМ. ГОНИ ЕЕ НАХУЙ С КАНАЛА. НЕУЖЕЛИ ТАК ТРУДНО ОБАЩАТЬСЯ С ЭТОЙ ТУПОРЫЛОЙ ВНЕ ЮТУБА. ДА ХОТЯ БЫ ХОТЬ ЧТО-ТО КРОМЕ ЭТОЙ ХАЛИ НАЧНИ ВЫКЛАДЫВАТЬ! Реально астоебенило! Видео с этого блядского дня рождения уже МЕСЯЦ тянет! МЕСЯЦ, КАРЛ!
",1.0
"Турецкие и арабские хуесосы в 90-е все таки создали тут какую-никакую ячейку радикалов, взять тот же Азатлык , благо большинство тут не настолько тупое быдло, чтобы ратовать за шариат и прочую средневековую дичь, и все это состоит дай бог из пары сотен отбитых. А то что какой-то умник решил присоединится к тренду по вытягиванию извинений - стыдно уже вполне секуляризованному народу ударятся в эту средневековую дичь мимо татарин
",1.0
"Скажи ему внезапно что у тебя туберкулёз.
",0.0
"Ты серьёзно думаешь, что из-за того, что ты смотришь Панчина ты не относишься к 95 населения? Ну смотри там про магию и прочую говнину, хули с тебя взять.
",1.0
"Нет. Это вы меня научили на пикабу. Вы же здесь самый умный, да?
",1.0
